| HTTP Method | Route | Description | Role Required | Request Body | Expected Response |
|-------------|-------|-------------|---------------|--------------|------------------|
| POST | /api/auth/register | Register a new user | None | { username, password, role } | 201 Created, 400 Bad Request |
| POST | /api/auth/login | Log in a user | None | { username, password } | 200 OK, 401 Unauthorized |
| GET | /api/users/me | View own profile | Any | None | 200 OK, 401 Unauthorized |
| PUT | /api/users/me | Update own profile | Any | { name, email, password } | 200 OK, 400 Bad Request |
| GET | /api/events | View all events | Any | None | 200 OK |
| GET | /api/events/{id} | View one event | Any | None | 200 OK, 404 Not Found |
| POST | /api/events | Create new event | Organiser | { name, description, date, location, distance, eventType } | 201 Created, 400 Bad Request |
| PUT | /api/events/{id} | Update event | Organiser | { name, description, date, location, distance, eventType } | 200 OK, 400 Bad Request |
| DELETE | /api/events/{id} | Delete event | Organiser | None | 200 OK, 404 Not Found |
| GET | /api/categories | View categories | Any | None | 200 OK |
| POST | /api/events/{id}/categories | Add category to event | Organiser | { categoryName, distance } | 201 Created, 400 Bad Request |
| POST | /api/enrolments | Participant enrols for event | Participant | { participantId, eventId, categoryId } | 201 Created, 400 Bad Request |
| GET | /api/events/{id}/enrolments | View enrolments for event | Organiser | None | 200 OK |
| POST | /api/events/{id}/results | Capture race results | Organiser | { participantId, finishTime, position } | 201 Created, 400 Bad Request |
| GET | /api/users/me/results | View own results | Participant | None | 200 OK |
